neighbourhood,precio_promedio,disponibilidad_promedio,latitud,longitud,publicaciones,precio_normalizado,publicaciones_normalizado,color_publicaciones,color_precio
Agronomia,29138,222,-34.59428811206364,-58.48998204478437,40,0.06598987769372051,0.003038487508440243,#D3D3D3,#A8E6A3
Almagro,67240,209,-34.60508523892763,-58.421932938168226,1377,0.2910074470409676,0.11588453747467926,#FFFF00,#A8E6A3
Balvanera,74955,207,-34.606547482220094,-58.401372691989145,1323,0.3365696366245593,0.1113268062120189,#FFFF00,#A8E6A3
Barracas,185670,242,-34.63332308260994,-58.374162896480044,286,0.9904151090480662,0.023801485482781905,#D3D3D3,#A8E6A3
Belgrano,63184,208,-34.55939070764487,-58.45507498106652,1961,0.26705407815554333,0.16517555705604323,#90EE90,#A8E6A3
Boedo,41667,228,-34.62679822829574,-58.41861046924794,133,0.13998192867140302,0.010887913571910872,#D3D3D3,#A8E6A3
Caballito,37181,205,-34.61637723412038,-58.44064823652881,791,0.11348912472169563,0.06642471303173532,#FFFF00,#A8E6A3
Chacarita,33824,202,-34.58557501606674,-58.4487386685423,643,0.09366381423146655,0.053933153274814315,#FFFF00,#A8E6A3
Coghlan,49267,200,-34.5617189956005,-58.47286127019531,132,0.18486496701687247,0.010803511141120865,#D3D3D3,#A8E6A3
Colegiales,70710,214,-34.57432788231028,-58.448588819138976,851,0.31150009744343854,0.07148885887913572,#FFFF00,#A8E6A3
Constitucion,33463,223,-34.62143022506429,-58.381916902582,491,0.09153186991005675,0.04110398379473329,#A9A9A9,#A8E6A3
Flores,32331,211,-34.62655400003186,-58.46270246513083,171,0.08484665946175787,0.014095205941931128,#D3D3D3,#A8E6A3
Floresta,39343,209,-34.62884577971031,-58.48366465628118,48,0.12625716799839365,0.003713706954760297,#D3D3D3,#A8E6A3
Liniers,34596,189,-34.64191859972421,-58.51857421818835,28,0.09822298602129582,0.002025658338960162,#D3D3D3,#A8E6A3
Mataderos,32125,197,-34.653533019393294,-58.50138866340037,38,0.08363009289607805,0.0028696826468602296,#D3D3D3,#A8E6A3
Monserrat,77078,219,-34.612738908969895,-58.37902185963643,1753,0.3491073590465898,0.14761985145172182,#90EE90,#A8E6A3
Monte Castro,29660,210,-34.61908215531759,-58.50655949487686,14,0.06907263374850144,0.0008440243079000675,#D3D3D3,#A8E6A3
Nueva Pompeya,20027,200,-34.6458935056269,-58.419220177966,16,0.012183382645618884,0.001012829169480081,#D3D3D3,#A8E6A3
Nuñez,42191,208,-34.54863731088576,-58.46396601830597,766,0.14307649605206432,0.06431465226198514,#FFFF00,#A8E6A3
Palermo,65733,214,-34.582351798083735,-58.4267312882836,11852,0.2821076129900962,1.0,#006400,#A8E6A3
Parque Avellaneda,53629,239,-34.64241869182618,-58.47654022016152,21,0.21062546876199587,0.0014348413234301148,#D3D3D3,#A8E6A3
Parque Chacabuco,32863,200,-34.632609184154106,-58.43801083777629,80,0.08798847214594074,0.006414584740040513,#D3D3D3,#A8E6A3
Parque Chas,37480,218,-34.58464592449456,-58.47653514576394,70,0.11525491794081344,0.005570560432140445,#D3D3D3,#A8E6A3
Parque Patricios,30831,209,-34.63349966165032,-58.40280062553082,97,0.07598816505146785,0.007849426063470628,#D3D3D3,#A8E6A3
Paternal,29112,202,-34.60100905741126,-58.46549782813341,54,0.06583633045727548,0.004220121539500338,#D3D3D3,#A8E6A3
Puerto Madero,101112,202,-34.613275058810494,-58.36248947640694,401,0.4910440621511968,0.03350776502363268,#A9A9A9,#A8E6A3
Recoleta,52143,209,-34.591649977923886,-58.399528316232235,5365,0.20184965363286855,0.4524814314652262,#006400,#A8E6A3
Retiro,62475,224,-34.594689745107324,-58.38020784597275,1691,0.26286696313094626,0.14238690074274138,#90EE90,#A8E6A3
Saavedra,39457,198,-34.549519550018225,-58.47959345614153,266,0.1269304135735757,0.022113436866981768,#D3D3D3,#A8E6A3
San Cristobal,57941,215,-34.622436991557535,-58.40179534919789,239,0.2360906873601096,0.019834571235651587,#D3D3D3,#A8E6A3
San Nicolas,72482,210,-34.603323762699254,-58.38225120719112,2344,0.3219649321734611,0.1975016880486158,#006400,#A8E6A3
San Telmo,187293,205,-34.620044655086836,-58.372242343863384,1021,1.0,0.08583727211343686,#FFFF00,#A8E6A3
Velez Sarsfield,33092,161,-34.63246223169505,-58.491039427085404,23,0.08934086895924502,0.0016036461850101283,#D3D3D3,#A8E6A3
Versalles,44174,94,-34.62973673585712,-58.5214944273289,9,0.15478742566246775,0.00042201215395003375,#D3D3D3,#A8E6A3
Villa Crespo,127048,210,-34.597279449288095,-58.43889836266183,1261,0.6442133361680515,0.10609385550303849,#FFFF00,#A8E6A3
Villa Del Parque,36558,235,-34.60152436491407,-58.48839530813059,125,0.10980989670995518,0.010212694125590817,#D3D3D3,#A8E6A3
Villa Devoto,37928,215,-34.59969328998668,-58.51250588927337,117,0.11790065493802007,0.009537474679270764,#D3D3D3,#A8E6A3
Villa Gral. Mitre,30265,188,-34.608091210017044,-58.468119905475795,42,0.07264555982731842,0.0032072923700202567,#D3D3D3,#A8E6A3
Villa Lugano,27551,293,-34.670280245693185,-58.47434623002008,7,0.05661759060763366,0.00025320729237002026,#D3D3D3,#A8E6A3
Villa Ortuzar,90632,217,-34.581184165646185,-58.468587229164385,132,0.42915271453797044,0.010803511141120865,#D3D3D3,#A8E6A3
Villa Pueyrredon,28784,223,-34.585686050320874,-58.502209425170506,69,0.06389927301289207,0.0054861580013504385,#D3D3D3,#A8E6A3
Villa Real,21094,86,-34.6202350104844,-58.52682647749755,7,0.01848472500280519,0.00025320729237002026,#D3D3D3,#A8E6A3
Villa Riachuelo,17964,90,-34.68904409398237,-58.47775570919017,4,0.0,0.0,#D3D3D3,#A8E6A3
Villa Santa Rita,35934,195,-34.61368781819522,-58.4812812565115,39,0.10612476303527453,0.0029540850776502365,#D3D3D3,#A8E6A3
Villa Urquiza,33668,214,-34.57281265928966,-58.48523102199355,442,0.09274253081279639,0.036968264686022954,#A9A9A9,#A8E6A3
